data,food,travel,rent,Shopping,Health
81,19,93,11,35,61
28,88,19,88,52,20
95,43,43,25,16,31
46,67,60,90,82,17
59,21,46,86,35,6
8,44,10,42,6,89
30,13,55,96,32,99
98,8,4,5,20,94
38,59,57,10,96,77
89,95,61,28,97,65
43,68,63,26,84,4
32,73,31,42,45,23
90,68,90,25,68,93
64,55,33,99,61,61
97,41,45,77,39,98
22,22,13,86,96,95
18,44,53,12,100,41
3,90,26,21,28,42
30,42,74,17,93,69
40,82,65,34,79,60
30,30,56,78,87,42
90,46,88,35,31,100
18,99,29,6,75,60
7,16,58,32,57,95
52,9,44,9,77,20
93,61,78,39,43,82
54,55,2,18,29,78
74,10,3,3,18,52
99,70,18,28,27,11
92,22,52,84,10,81
39,11,40,99,64,32
26,2,32,34,70,65
61,8,91,51,73,100
82,6,44,90,49,52
96,74,16,39,13,7
28,30,50,78,71,20
68,91,18,52,15,78
13,46,14,98,1,44
55,98,1,44,98,20
35,75,63,32,72,89
25,15,54,18,13,11
74,58,88,65,2,43
43,48,37,21,49,43
78,7,90,71,85,82
3,22,13,79,30,95
1,38,35,39,61,39
46,44,23,49,24,24
6,58,7,19,46,16
30,85,67,86,16,82
55,13,78,77,23,60
22,100,30,43,32,69
68,93,42,98,94,9
51,74,81,18,14,13
87,60,58,80,87,14
3,21,38,24,33,33
73,32,64,78,94,54
52,61,80,54,9,70
58,80,28,5,19,49
77,39,65,23,9,37
83,15,14,93,8,97
39,94,44,8,93,100
8,72,44,30,88,100
32,53,82,73,71,13
35,11,7,20,77,38
44,45,70,44,87,38
27,74,11,8,32,71
64,68,87,48,35,46
2,76,9,57,88,10
84,77,57,28,12,75
78,71,60,44,73,3
70,92,88,52,82,26
12,8,94,24,98,86
20,69,88,80,10,18
49,16,76,87,96,96
36,42,74,96,74,47
6,85,19,59,72,40
66,21,8,12,41,42
63,14,25,68,61,77
85,76,6,86,58,72
1,64,100,91,30,94
86,53,56,73,42,40
55,41,47,70,34,75
43,45,98,1,62,48
92,64,83,6,61,14
53,38,4,18,44,44
25,19,68,43,79,38
46,50,18,68,74,41
84,87,97,88,96,70
20,24,77,92,14,49
31,7,58,76,88,33
65,69,42,80,48,20
15,5,20,48,81,1
31,45,55,61,12,9
48,1,1,16,82,62
31,6,96,46,58,73
30,82,58,64,1,36
81,2,25,74,57,96
82,88,71,45,27,48
43,96,34,80,62,58
77,1,87,31,79,4
58,84,73,1,86,66
58,25,1,57,54,66
26,19,2,7,46,47
83,54,20,12,94,82
42,16,4,15,83,99
29,88,63,85,18,83
38,91,54,98,66,27
31,67,67,83,78,16
50,76,78,57,27,86
45,27,35,87,12,71
8,98,97,54,41,57
1,48,27,45,77,48
72,70,92,36,28,62
3,55,43,57,39,21
30,44,74,50,93,53
60,38,20,17,63,42
92,27,49,45,65,91
67,70,63,85,61,97
82,26,24,63,6,35
87,41,51,18,67,96
89,97,46,13,27,20
13,81,88,54,71,90
86,72,58,58,12,5
74,70,10,57,86,59
56,99,39,28,88,26
65,21,43,4,73,54
9,92,82,93,94,70
5,29,31,91,33,82
93,67,62,77,61,37
39,21,62,69,36,26
52,1,8,44,11,26
2,93,96,7,35,34
79,62,6,47,5,83
8,91,98,65,35,13
99,100,85,57,38,95
57,99,4,62,27,49
66,19,86,30,38,79
3,32,68,25,21,43
25,75,36,84,42,15
67,1,49,14,15,57
23,58,79,8,90,41
100,40,9,73,31,82
80,33,96,1,16,48
38,43,14,88,69,24
66,82,98,24,6,12
45,65,76,49,85,51
70,97,50,85,2,99
1,36,23,3,50,100
69,48,66,36,92,94
68,98,14,70,26,41
86,68,85,7,63,68
18,45,84,67,67,22
100,47,4,68,19,12
59,39,72,47,2,21
9,39,44,86,98,45
30,26,29,9,84,53
75,95,12,46,11,97
37,50,38,43,39,97
92,9,34,15,58,63
32,73,42,6,79,36
96,83,54,92,99,42
26,71,33,43,29,40
52,100,14,34,42,21
58,41,9,99,47,4
27,40,63,98,36,60
89,87,57,97,29,33
28,50,22,26,49,75
20,46,70,90,7,66
19,47,32,64,85,71
42,66,2,35,48,33
25,60,87,31,34,57
81,79,64,42,50,8
9,91,56,96,9,42
23,43,99,40,87,64
98,89,58,13,7,56
64,63,4,14,60,42
48,56,76,7,1,39
12,37,92,92,50,48
61,11,55,54,90,46
62,72,41,66,50,70
37,100,97,34,51,88
50,57,99,28,73,62
71,28,16,67,67,6
87,74,77,78,50,67
79,78,90,11,43,96
7,40,66,82,43,83
80,72,14,23,34,19
84,33,71,100,29,34
73,24,34,26,98,68
56,41,23,3,90,35
76,71,96,74,28,53
84,76,68,75,84,57
75,41,41,54,52,61
31,88,7,29,20,63
84,21,2,4,51,53
49,14,82,95,47,96
36,85,93,8,75,99
23,12,85,33,73,47
30,60,9,46,12,60
11,79,60,13,75,89
83,97,6,98,32,67
21,35,75,57,85,35
54,67,3,26,87,20
3,12,94,66,21,24
42,22,24,23,28,52
41,24,82,67,34,68
44,12,75,60,46,2
90,74,33,15,34,52
30,35,65,91,77,78
65,13,94,30,20,90
17,97,63,73,25,81
58,29,27,12,81,39
91,87,55,79,98,69
29,31,36,44,70,1
93,33,14,47,48,33
8,30,15,44,36,14
63,31,6,89,11,91
62,16,9,92,43,50
54,49,66,100,16,96
22,82,96,44,70,46
44,75,54,61,75,14
48,96,58,38,10,25
77,62,67,54,35,20
83,64,3,89,52,77
45,82,97,75,97,100
73,97,30,43,11,66
82,47,63,45,13,85
61,74,85,45,37,82
94,9,99,35,12,1
21,39,77,23,61,27
38,44,96,14,1,89
36,77,90,43,62,92
76,37,30,50,20,76
95,86,41,24,26,77
20,54,77,59,28,48
22,95,34,24,36,32
13,89,27,25,56,92
33,60,91,80,93,68
18,22,7,33,18,42
37,72,99,24,40,5
58,20,19,61,3,28
78,10,36,83,97,8
20,65,50,37,66,13
71,77,21,26,97,43
67,11,51,64,84,46
12,85,23,20,100,2
44,13,86,34,23,73
57,40,31,17,9,71
96,44,34,84,46,64
58,100,72,88,89,2
92,85,95,100,30,35
89,63,89,70,67,52
67,6,70,87,44,74
6,42,61,51,81,70
8,52,24,44,57,70
100,47,8,55,35,15
58,25,77,47,43,34
61,3,64,99,40,63
69,71,48,86,16,11
92,8,14,84,3,94
2,80,81,67,52,5
26,26,18,21,98,20
82,38,15,29,100,86
76,73,29,62,27,93
28,36,55,87,75,78
75,25,39,49,33,71
27,70,55,65,17,45
79,57,42,91,52,39
62,45,19,27,78,73
92,83,73,86,90,80
52,80,68,99,43,48
20,19,6,40,96,25
19,47,3,71,74,94
40,68,26,70,38,12
46,44,28,47,49,76
40,95,27,20,13,32
50,28,55,73,76,21
88,9,31,1,50,1
46,34,12,86,57,88
49,97,18,85,55,20
70,56,18,98,15,90
8,81,87,36,44,8
22,39,79,37,9,60
10,89,44,15,42,68
61,21,26,4,4,5
24,6,28,33,20,38
28,30,72,16,62,67
78,83,73,64,52,87
58,95,49,78,83,26
13,74,90,47,9,17
4,96,39,18,29,37
25,14,6,27,86,36
82,32,57,64,4,33
69,26,47,14,14,84
65,54,50,83,11,97
40,12,41,71,41,2
86,31,22,56,82,35
80,73,24,64,52,3
33,42,22,33,50,80
49,13,45,44,49,26
23,83,23,33,29,20
83,18,32,65,62,60
78,87,53,62,55,61
77,26,52,55,83,90
50,43,66,34,70,68
68,8,88,51,6,78
84,62,9,7,36,90
32,71,30,16,74,70
70,99,4,39,68,95
23,32,97,8,2,90
31,57,37,56,96,85
40,57,37,28,77,33
4,94,83,59,49,13
1,47,3,55,54,74
13,70,51,35,78,70
27,23,93,96,37,76
46,94,37,80,22,26
4,21,25,5,22,56
36,17,21,99,35,20
47,4,92,93,61,70
46,47,88,67,35,54
30,6,45,78,24,96
64,61,47,56,1,26
30,19,39,15,68,65
65,95,33,90,14,41
1,79,87,58,15,17
50,66,84,14,39,48
54,12,1,57,77,38
13,91,67,52,9,55
47,5,86,41,11,81
29,29,26,97,6,37
99,4,70,38,98,62
39,69,94,45,14,49
23,5,92,64,43,24
26,98,90,48,29,73
45,77,37,6,10,20
96,7,94,13,91,49
58,58,3,96,27,11
45,87,72,26,8,69
67,53,94,13,54,34
62,62,58,49,81,66
60,89,74,30,96,71
45,93,64,7,30,91
81,86,31,9,23,93
40,34,43,68,91,81
32,5,11,43,20,89
47,70,51,49,24,20
57,9,24,66,5,61
59,63,48,64,84,42
76,54,19,17,97,81
17,39,45,36,62,26
18,55,76,93,18,15
14,49,11,35,98,5
44,99,4,84,57,2
55,92,56,51,54,27
66,57,57,77,96,92
9,32,86,64,66,25
12,45,51,80,74,47
76,64,96,25,20,90
68,69,57,87,61,63
83,35,12,27,99,74
96,41,33,80,86,73
50,51,28,96,73,1
12,63,98,99,74,93
12,89,64,72,16,37
79,42,39,4,78,77
57,75,60,21,25,47
59,6,50,95,89,82
25,93,82,2,8,40
13,53,2,76,30,80
18,11,1,26,15,12
42,52,98,15,76,87
36,74,89,53,99,95
58,83,93,100,11,78
98,12,50,84,100,66
50,99,92,8,71,42
28,53,85,47,12,90
37,78,98,77,76,86
69,70,35,91,58,78
29,77,21,5,2,28
93,9,14,16,45,72
98,10,75,35,22,61
32,70,54,5,61,95
92,6,8,100,77,88
12,67,60,73,3,20
81,85,29,71,9,31
8,48,28,34,5,55
56,70,98,12,12,93
90,76,80,42,73,7
53,98,12,59,25,79
49,72,50,100,21,47
38,4,99,96,19,51
65,92,14,92,55,96
49,94,62,97,13,90
35,77,69,56,36,74
30,98,59,96,39,32
19,32,23,7,57,44
17,50,87,56,99,56
78,27,69,89,85,92
2,86,78,34,73,97
15,93,8,14,85,57
49,42,7,77,93,43
30,96,81,4,24,41
5,16,80,42,23,7
80,53,97,86,77,88
31,91,22,67,68,47
20,26,40,7,48,36
29,23,78,15,48,31
42,76,81,87,90,87
59,64,100,23,38,68
90,49,21,40,15,48
15,75,73,4,99,22
56,57,83,40,87,86
100,67,38,80,12,23
51,18,36,79,35,89
44,99,75,62,92,62
38,44,62,29,24,59
88,23,4,78,70,52
82,26,2,8,13,58
15,75,34,62,65,75
16,80,69,75,84,48
67,73,19,76,95,62
67,36,34,93,91,40
49,34,80,39,85,11
82,60,25,85,49,4
90,29,3,37,38,55
59,21,45,25,32,55
15,22,75,59,18,28
51,15,87,55,1,84
95,44,97,26,82,91
5,30,68,96,35,41
92,79,30,58,9,91
44,56,47,58,8,33
19,86,53,72,74,13
63,76,23,41,61,27
69,96,91,69,77,93
48,8,30,31,19,41
68,18,80,1,42,1
1,32,26,21,39,46
67,46,59,98,40,45
24,80,58,67,26,22
53,17,13,76,1,55
60,83,26,78,1,32
65,75,66,45,67,34
56,52,44,77,28,91
49,11,87,54,90,9
64,29,17,3,80,91
25,100,26,17,53,38
3,16,47,6,31,93
16,11,87,29,38,91
34,95,68,22,12,31
77,9,4,91,5,13
5,85,93,70,7,13
100,95,3,53,16,89
16,42,9,9,96,66
5,73,4,14,38,47
39,67,72,40,11,27
97,5,72,17,52,19
52,98,93,38,8,88
43,76,40,98,99,49
1,93,66,60,66,9
18,18,73,94,13,63
26,89,15,8,42,11
29,31,11,41,43,50
89,70,62,20,48,34
74,79,15,55,54,90
93,91,47,34,42,79
100,85,91,80,87,3
16,35,91,38,80,87
20,27,5,11,3,50
79,4,21,89,78,26
33,27,69,32,43,17
95,27,64,85,52,16
46,18,57,69,63,65
78,66,37,6,1,56
99,42,75,56,30,86
42,94,48,25,60,85
9,49,20,58,94,99
51,73,30,4,33,77
29,49,27,40,3,50
100,67,59,85,68,66
7,74,39,66,99,34
92,15,81,30,23,94
88,81,46,82,56,77
71,63,86,52,54,26
48,93,43,53,4,90
3,40,31,36,13,81
78,74,21,83,80,11
96,82,33,35,7,6
7,71,11,45,36,18
75,20,30,66,11,75
100,81,55,74,48,82
48,11,31,30,46,39
65,57,66,52,55,43
18,88,9,72,24,32
63,30,37,50,38,12
83,85,23,43,95,82
86,10,18,28,18,55
5,5,73,57,14,86
85,8,92,95,88,21
99,75,84,81,22,8
20,87,82,39,35,74
66,28,29,7,14,3
88,6,50,12,99,1
99,16,45,59,72,81
68,48,68,21,7,96
100,45,78,42,97,69
29,3,82,44,56,99
63,28,82,68,87,8
31,40,96,89,69,20
86,1,85,78,98,91
18,99,8,10,21,45
57,29,21,23,93,76
40,20,42,31,44,8
21,39,12,39,53,37
47,32,7,84,10,87
88,24,20,41,26,20
26,61,69,58,22,89
54,13,32,17,86,6
84,36,55,34,28,61
40,14,71,29,97,8
84,90,17,12,74,70
48,91,56,43,58,83
11,42,82,76,23,15
57,98,48,85,40,59
12,77,58,89,50,64
64,45,45,31,55,34
79,72,51,1,57,32
86,85,36,8,21,98
90,7,20,28,28,6
62,98,83,35,83,39
12,91,36,79,51,18
12,29,83,22,43,50
40,25,87,100,23,87
59,50,79,30,7,23
100,42,34,74,87,44
46,44,3,16,88,29
36,42,18,58,41,63
99,53,100,70,97,21
74,80,68,86,81,90
19,2,21,10,97,57
53,88,21,50,30,60
20,63,70,67,35,74
26,5,74,81,98,77
75,39,89,49,62,41
34,47,46,27,44,67
87,92,15,65,73,86
60,86,32,35,93,14
17,75,16,15,75,100
89,27,74,34,9,97
45,31,91,98,72,72
79,68,86,14,89,69
58,96,3,15,10,100
66,58,20,46,12,45
90,89,73,43,31,44
93,52,20,19,77,50
86,42,17,75,64,19
55,53,37,60,16,24
16,92,5,13,43,97
100,1,14,79,69,45
22,58,16,46,84,61
9,5,63,17,93,5
46,11,93,78,64,39
33,22,95,47,46,92
75,84,45,26,93,43
47,96,55,79,32,16
72,74,79,88,71,86
30,17,24,69,66,78
32,37,88,94,7,15
40,23,72,41,51,41
62,49,44,64,7,81
34,60,20,11,45,41
36,30,52,47,94,56
26,52,8,53,48,33
56,56,47,2,93,50
37,25,83,88,76,7
45,72,73,62,3,69
44,24,84,68,43,13
11,94,58,31,10,100
33,20,48,48,83,28
69,15,51,82,58,53
10,99,22,28,50,55
30,7,10,71,48,68
24,85,39,43,96,50
9,5,17,54,38,60
86,89,44,84,65,88
24,94,89,2,58,68
24,80,26,14,15,20
96,68,43,7,81,18
85,43,6,17,77,42
64,6,37,67,58,42
74,18,80,71,19,18
87,88,3,53,44,75
53,74,24,89,17,60
12,87,24,19,48,86
72,41,13,43,7,85
61,26,35,37,16,42
88,45,2,86,18,68
61,55,94,82,44,49
26,47,50,23,44,77
2,42,88,46,67,72
83,80,56,39,91,23
61,12,42,80,3,2
73,97,96,92,35,63
69,11,1,17,23,64
15,48,92,11,75,5
89,78,90,31,32,47
100,25,9,23,99,79
48,63,48,61,11,85
81,79,68,14,46,80
100,28,52,73,46,37
45,82,21,65,69,66
86,51,42,44,100,2
50,2,20,43,64,7
86,12,79,58,41,87
29,40,13,26,8,78
38,97,34,65,39,77
54,60,42,98,62,49
71,56,42,43,6,19
6,70,53,97,36,72
67,22,32,9,63,59
4,48,19,24,11,15
28,41,81,85,94,50
78,28,81,31,28,9
100,95,5,50,67,73
27,77,9,99,59,64
9,16,66,37,12,74
68,86,95,9,92,45
36,60,4,57,86,5
64,22,23,71,44,38
91,54,5,55,75,22
69,37,35,38,61,94
50,93,23,23,25,93
83,83,97,39,54,92
12,7,46,56,7,71
50,44,50,84,68,62
76,42,66,78,44,4
45,86,11,70,81,43
8,15,59,50,14,70
85,58,99,12,52,60
8,26,43,59,57,34
90,43,24,45,4,25
19,83,33,29,27,27
46,88,73,3,19,42
39,55,4,2,11,8
78,59,25,85,66,33
18,77,12,40,75,8
15,71,61,41,26,38
16,99,73,37,74,86
76,44,79,18,100,2
39,28,50,97,67,15
22,54,17,81,83,54
27,39,27,57,62,11
58,80,60,38,86,27
48,77,85,19,3,66
59,34,48,27,88,75
28,67,12,30,75,23
39,33,69,8,9,63
64,41,38,31,55,63
83,80,23,13,69,14
48,65,47,43,82,28
29,13,86,49,88,41
10,62,28,78,37,83
75,44,45,73,76,68
46,20,80,18,90,56
20,50,76,5,97,4
92,35,62,84,69,13
18,19,31,17,53,17
38,21,9,72,61,84
76,95,40,73,13,57
79,88,66,1,36,32
89,1,63,62,28,45
24,64,7,72,47,81
53,45,29,68,93,97
19,53,33,44,71,26
12,31,63,13,40,81
65,16,28,17,56,91
77,67,24,25,59,76
35,63,49,70,97,32
89,99,73,45,51,53
92,92,21,85,84,11
47,41,74,89,54,5
29,66,92,1,10,99
21,48,76,96,74,58
76,92,78,36,33,62
60,93,80,83,38,60
36,90,53,11,63,64
30,66,47,68,30,7
8,91,22,55,42,72
69,39,45,95,39,42
70,41,30,29,89,59
61,6,55,80,85,98
38,90,94,92,20,3
37,75,83,58,33,9
62,40,52,12,38,21
45,17,67,37,86,52
98,80,49,97,25,27
94,4,42,35,46,7
86,25,42,18,91,91
87,57,48,51,30,63
21,48,97,100,44,74
71,73,87,9,57,9
53,53,77,42,66,99
52,70,9,77,31,87
4,2,7,58,67,18
20,3,10,42,83,97
94,10,29,58,33,66
23,73,57,17,65,23
57,14,69,33,79,50
51,35,91,19,91,14
37,81,72,35,39,88
82,61,21,28,52,31
89,87,48,47,44,11
70,9,83,35,67,84
72,1,8,36,93,80
31,61,16,47,72,82
92,95,13,44,45,14
86,69,55,26,94,19
39,90,62,81,74,69
9,15,32,95,84,45
13,2,74,23,78,26
99,78,11,57,8,46
42,90,69,40,57,38
94,64,42,23,85,20
52,75,35,38,78,72
6,69,87,14,75,83
53,32,25,41,25,88
54,29,37,12,96,8
92,28,53,15,14,22
68,38,11,56,24,37
96,2,71,44,77,38
3,6,32,31,72,71
86,59,85,12,90,90
69,92,25,30,54,77
51,55,48,83,73,94
43,62,41,62,78,76
59,15,5,6,18,16
15,20,5,2,22,45
81,43,98,4,69,56
62,49,61,71,44,77
38,32,83,13,99,5
43,48,17,40,45,37
39,98,53,50,85,71
71,52,76,51,95,62
14,86,10,89,86,32
75,80,53,97,23,36
44,61,46,54,91,25
12,46,65,5,60,46
15,13,83,28,54,11
69,22,22,49,61,13
69,71,100,44,72,5
31,24,88,75,12,69
95,60,30,3,19,80
3,37,68,77,19,48
77,82,60,71,53,87
66,35,74,81,41,28
86,70,10,41,28,76
42,88,1,92,98,92
40,13,19,85,1,91
53,10,1,93,41,70
82,74,40,52,97,97
7,3,97,54,96,74
1,99,95,3,12,74
48,59,87,95,99,48
28,53,15,67,28,61
23,58,97,25,22,3
70,50,35,94,44,63
86,37,5,14,42,34
14,85,62,26,60,56
15,33,70,65,7,56
59,86,41,8,51,44
78,34,81,74,90,100
54,31,98,69,91,79
76,83,94,10,84,83
50,90,40,99,1,37
51,48,81,9,11,77
48,57,12,83,41,41
64,90,69,49,97,100
42,2,86,3,55,30
45,46,18,64,27,90
